quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2022Q2,high,400,337,1,40,0.11690802655647374,0.8808842435099175,78.1005579992469,0.13483332632834014,0.8625994135123968,73.07266870536105,0.11042426767416927,0.12437273459203835,0.12638907013036654,0.14328451699867378
2022Q2,low,400,320,-7,1,0.11104306988435363,0.8867345377903573,78.53037951684388,0.12654101592141712,0.8707294247533373,72.7696229846033,0.10404406893830617,0.11817320579883908,0.11860317756242367,0.1341227020592216
2022Q3,high,400,352,1,62,0.11256900508044419,0.8852124174322569,73.95388961392877,0.12831711965076378,0.8692065085300622,72.55381773702551,0.1056993229624315,0.11977948732031717,0.12019917506778512,0.1367056376027656
2022Q3,low,400,314,-2,1,0.10978566160318819,0.8879888025508198,75.89859919266287,0.125887202279763,0.8713289990013827,71.04554183475904,0.10283039886431214,0.11644069700868741,0.11711505703216088,0.1339865252066169
2022Q4,high,400,344,1,47,0.10859187981959884,0.8891795998799501,75.66528368477012,0.12469605964861315,0.8727594521526909,71.370660140719,0.10196332091362775,0.11542665655741906,0.11735192013840298,0.13269672914065367
2022Q4,low,400,312,-3,1,0.11034672375317159,0.8874291430562113,77.3519436444406,0.12598950251513774,0.8712091817877954,74.29656818107746,0.10333286206440476,0.11782707650677507,0.11765403432112782,0.1344256225723738
2023Q1,high,400,331,1,45,0.11202367788730283,0.8857563813074154,76.08548374596317,0.12813581063911553,0.8692301585773168,72.83289658101494,0.10603987227762036,0.11881775949639298,0.12082563122005897,0.13608698831215482
2023Q1,low,400,296,-3,1,0.11338421206741843,0.8843992484627501,78.41958368848923,0.12887348645297642,0.8681835185688241,71.13220744275034,0.1061475419818709,0.12039078843483128,0.12033221141498225,0.13674751063870516
2023Q2,high,400,343,1,34,0.1139075960928325,0.8838771728973995,75.90968223378547,0.12955571367577146,0.8679065478801347,74.3745415153088,0.1066635402815798,0.12106026709562011,0.12147199183535697,0.137779097121502
2023Q2,low,400,317,-3,1,0.12017145765277869,0.8776289709913533,78.69076911777128,0.1343723545322484,0.862896958888989,72.49732984605731,0.11305525354602765,0.12692881638059325,0.12619095487217358,0.14306260659519673
2023Q3,high,400,329,1,33,0.1249894254142207,0.8728230481493149,75.53131428942476,0.14170608529754383,0.8556851186091357,71.10788668599868,0.11786360376943023,0.1323836549340405,0.13233040829534654,0.15096403002313455
2023Q3,low,400,306,-4,1,0.11159316024578395,0.8861858226548305,79.23077087943693,0.13033205075563595,0.8668258971226505,73.58519951081479,0.10417786175297802,0.11834680756391674,0.12149692903583954,0.13958120552999725
2023Q4,high,400,326,1,40,0.12887136409456296,0.8689508143156734,76.85482598196477,0.14505484847019687,0.8523226203901412,72.86623367207838,0.12157627041019789,0.13618431287290558,0.13666468527762338,0.15340090034683582
2023Q4,low,400,275,-4,1,0.13093702072184357,0.8668903218299611,76.6318077752888,0.144239641412507,0.8526485027380839,71.4415484569911,0.12321204467618731,0.13892195348656025,0.13476408955561206,0.15370053879520668
2024Q1,high,400,325,1,73,0.11521677719037902,0.882571264752597,79.32470064750594,0.1301537574208734,0.86716979260196,75.7154619892933,0.10726181532781105,0.12377476872348263,0.12101154436982,0.1396866965141247
2024Q1,low,400,300,-8,1,0.1309337021926566,0.866893632062825,79.79364643724169,0.14193058546919232,0.8552091831490383,74.24186300382674,0.12291398928496078,0.13886952959063545,0.13274481378974443,0.15121907769843704
2024Q2,high,400,331,2,37,0.124319665094767,0.8734911340679699,82.43233882731622,0.1382029688478663,0.8591934147438192,79.32319421634975,0.11703935462873394,0.13269990854513258,0.12937728037294172,0.14593757634587953
2024Q2,low,400,294,-5,1,0.13094089476172763,0.8668864574751767,81.82768224319078,0.14912559688348975,0.8479802724936649,75.44666471993594,0.12337538776280818,0.1385903214419455,0.13970366683028576,0.15926929983283805
2024Q3,high,400,328,2,68,0.12560597094200143,0.8722080439853536,73.15192332995746,0.14086077297806995,0.8565199001102778,68.16432316749246,0.11807672577400438,0.13327097411010852,0.13245817417062888,0.14972950569272234
